,Composition,As-cast/other,HardGPa
1,Al0.25Fe1Co1Ni1,1.0,1.35
3,Al0.3Cr1Fe1Co1Ni1,1.0,1.375
5,Al0.5Cr1Fe1Co1Cu1Ni1,1.0,2.2075
7,Al0.5Cr1Fe1Co1Ni1Mo0.5,1.0,4.17
9,Al0.5Fe1Co1Ni1,1.0,2.08
10,Al0.5V0.2Cr1Fe1Co1Cu1Ni1,1.0,2.0
11,Al0.5V0.4Cr1Fe1Co1Cu1Ni1,1.0,2.27
12,Al0.5V0.6Cr1Fe1Co1Cu1Ni1,1.0,3.22
13,Al0.5V0.8Cr1Fe1Co1Cu1Ni1,1.0,4.38
14,Al0.5V1.2Cr1Fe1Co1Cu1Ni1,1.0,5.68
15,Al0.5V1.4Cr1Fe1Co1Cu1Ni1,1.0,5.66
16,Al0.5V1.6Cr1Fe1Co1Cu1Ni1,1.0,5.83
17,Al0.5V1.8Cr1Fe1Co1Cu1Ni1,1.0,5.85
18,Al0.5V1Cr1Fe1Co1Cu1Ni1,1.0,6.27
19,Al0.5V2Cr1Fe1Co1Cu1Ni1,1.0,5.76
20,Al0.6Cr1Fe1Co1Ni1,1.0,2.24
22,Al0.75Fe1Co1Ni1,1.0,3.78
25,Al0.8Cr1Fe1Co1Cu1Ni1,1.0,2.65
26,Al0.9Cr1Fe1Co1Ni1,1.0,5.01
28,Al1.5Cr1Fe1Co1Cu1Ni1,1.0,4.88
30,Al1.5Cr1Fe1Co1Ni1Mo0.5,1.0,6.42
31,Al10.1Co18Cr18Fe18Ni18Mn18,1.0,2.73
32,Al10.4Co20.8Cr20.8Fe20.8Ni20.8Mn6.3,1.0,1.73
33,Al10.7Cr17.9Cu17.9Fe17.9Ni35.7,1.0,2.73
34,Al10.7Cr17.9Fe17.9Cu17.9Ni35.7,1.0,2.73
35,Al10Co20Cr20Cu10Fe20Ni20,1.0,2.36
36,Al10Co20Cr20Fe20Ni20Mo10,1.0,4.32
37,Al10Co20Cr20Fe20Ni20Ti10,1.0,5.1
38,Al10Co25Cr15Fe25Ni25,1.0,1.87
39,Al10Co30Cr30Fe30,1.0,6.08
40,Al10Cr35Cu24Fe5Ni26,1.0,4.32
41,Al10Cr35Cu25Fe5Ni25,1.0,4.63
42,Al10Cr35Cu26Fe5Ni24,1.0,4.45
43,Al10Cr35Fe5(Cu12Ni13)2,1.0,4.32
44,Al10Cr35Fe5(Cu13Ni12)2,1.0,4.45
45,Al11.1Co22.2Cr22.2Cu22.2Fe22.2,1.0,2.03
46,Al11.1Cr22.2Cu22.2Fe22.2Ni22.2,1.0,3.75
47,Al11.1Cr22.2Fe22.2Co22.2Cu22.2,1.0,2.03
48,Al11.1Cr22.2Fe22.2Cu22.2Ni22.2,1.0,3.75
49,Al11.1Cr22.2Fe22.2Ni44.4,1.0,2.25
50,Al11.1Cr22.2Fe33.3Ni11.1Mn22.2,1.0,3.88
51,Al11.8Cr29.4Fe44.1Ni14.7,1.0,4.41
52,Al11Co17.8Cr17.8Fe17.8Ni17.8Mn17.8,1.0,3.97
53,Al11Cr28Cu27Fe6Ni28,1.0,4.6
54,Al11Cr28Cu29Fe7Ni25,1.0,4.68
55,Al11Cr28Fe6Cu27Ni28,1.0,4.6
56,Al11Cr28Fe7Cu29Ni25,1.0,4.68
57,Al11Cr29Cu29Fe5Ni26,1.0,4.85
58,Al11Cr29Fe5Cu29Ni26,1.0,4.85
59,Al12.3Cr17.5Cu17.5Fe17.5Ni35.1,1.0,2.84
60,Al12.3Cr17.5Fe17.5Cu17.5Ni35.1,1.0,2.84
61,Al12.5Co12.5Cr12.5Fe12.5Ni50,1.0,2.21
62,Al12.5Co25Cr12.5Fe25Ni25,1.0,2.07
63,Al12.5Cr12.5Fe12.5Co12.5Ni50,1.0,2.21
64,Al12.5Cr12.5Fe25Co25Ni25,1.0,2.07
65,Al12Co17.6Cr17.6Fe17.6Ni17.6Mn17.6,1.0,4.77
66,Al12Cr31Cu20Fe5Ni32,1.0,4.74
67,Al12Cr31Cu21Fe5Ni31,1.0,4.6
68,Al12Cr31Fe5(Cu5Ni8)4,1.0,4.74
69,Al12Cr31Fe5Cu21Ni31,1.0,4.6
70,Al13.3Co33.3Cu20Ni33.3,1.0,1.89
71,Al13.5Co19.2Cr19.2Cu9.6Fe19.2Ni19.2,1.0,3.07
72,Al13.5Cr19.2Fe19.2Co19.2Cu9.6Ni19.2,1.0,3.07
73,Al13.8Co17.2Cr17.2Cu17.2Fe17.2Ni17.2,1.0,2.67
74,Al13.8Cr17.2Cu17.2Fe17.2Ni34.5,1.0,3.09
75,Al13.8Cr17.2Fe17.2Co17.2Cu17.2Ni17.2,1.0,2.67
76,Al13.8Cr17.2Fe17.2Cu17.2Ni34.5,1.0,3.09
77,Al13.9Co17.2Cr17.2Fe17.2Ni17.2Mn17.2,1.0,5.29
78,Al13Co17.4Cr17.4Fe17.4Ni17.4Mn17.4,1.0,5.2
79,Al13Co21.7Cr21.7Fe21.7Ni21.7,1.0,2.41
80,Al13Cr21.7Cu21.7Ni21.7Ti21.7,1.0,4.43
81,Al13Cr21.7Fe21.7Co21.7Ni21.7,1.0,2.41
82,Al13Cr28Cu22Fe6Ni31,1.0,4.5
83,Al13Cr28Fe6Cu22Ni31,1.0,4.5
84,Al14.3Co14.3Cr14.3Fe14.3Ni42.9,1.0,2.37
85,Al14.3Co19Cr19Cu9.5Fe19Ni19,1.0,3.35
86,Al14.3Co28.6Fe28.6Ni28.6,1.0,2.05
87,Al14.3Co42.9Cu14.3Fe14.3Ni14.3,1.0,1.63
88,Al14.3Cr14.3Cu14.3Fe14.3Ni14.3Ti14.3V14.3,1.0,7.36
89,Al14.3Cr14.3Fe14.3Co14.3Ni42.9,1.0,2.37
90,Al14.3Cr19Fe19Co19Cu9.5Ni19,1.0,3.35
91,Al14.3Fe14.3Co42.9Cu14.3Ni14.3,1.0,1.63
92,Al14.3Fe28.6Co28.6Ni28.6,1.0,2.05
93,Al14.9Co21.3Cr21.3Fe21.3Ni21.3,1.0,3.31
94,Al14.9Cr21.3Fe21.3Co21.3Ni21.3,1.0,3.31
95,Al15.2Co19Cr19Cu8.6Fe19Ni19,1.0,3.95
96,Al15.2Cr15.2Cu24.2Fe15.2Ni30.3,1.0,3.65
97,Al15.2Cr15.2Fe15.2Cu24.2Ni30.3,1.0,3.65
